Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
03/12/2021,AQS,60730001,1,0.051,ppm,47,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/13/2021,AQS,60730001,1,0.045,ppm,42,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/14/2021,AQS,60730001,1,0.047,ppm,44,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/15/2021,AQS,60730001,1,0.046,ppm,43,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/16/2021,AQS,60730001,1,0.045,ppm,42,Chula Vista,13,76.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/17/2021,AQS,60730001,1,0.051,ppm,47,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/18/2021,AQS,60730001,1,0.05,ppm,46,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/19/2021,AQS,60730001,1,0.042,ppm,39,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/20/2021,AQS,60730001,1,0.045,ppm,42,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/21/2021,AQS,60730001,1,0.049,ppm,45,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/22/2021,AQS,60730001,1,0.047,ppm,44,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/23/2021,AQS,60730001,1,0.046,ppm,43,Chula Vista,15,88.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/24/2021,AQS,60730001,1,0.049,ppm,45,Chula Vista,16,94.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/25/2021,AQS,60730001,1,0.045,ppm,42,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/26/2021,AQS,60730001,1,0.047,ppm,44,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/27/2021,AQS,60730001,1,0.05,ppm,46,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/28/2021,AQS,60730001,1,0.054,ppm,50,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/29/2021,AQS,60730001,1,0.048,ppm,44,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/30/2021,AQS,60730001,1,0.049,ppm,45,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
03/31/2021,AQS,60730001,1,0.061,ppm,71,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/01/2021,AQS,60730001,1,0.058,ppm,61,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/02/2021,AQS,60730001,1,0.053,ppm,49,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
