pop_total,med_income,med_age,white_alone,black_alone,asian_alone,hispanic_any,pop_below_poverty,NAME,state,county,tract,GEOID,p_white,p_black,p_asian,p_hispanic,p_poverty,STATE,COUNTY,TRACT,centroid_lon,centroid_lat,region
6521.0,56842.0,30.5,2235.0,1156.0,712.0,4428.0,1720.0,Census Tract 33.05; San Diego County; California,06,073,003305,06073003305,0.34273884373562336,0.1772734243214231,0.10918570771354087,0.6790369575218524,0.26376322649900324,06,073,003305,-117.08963188690475,32.69638438095238,coastal
5794.0,78026.0,36.9,1895.0,1170.0,1501.0,1209.0,613.0,Census Tract 34.01; San Diego County; California,06,073,003401,06073003401,0.32706247842595787,0.2019330341732827,0.2590610976872627,0.20866413531239214,0.10579910251984811,06,073,003401,-117.09561962033898,32.726577722033895,coastal
3681.0,66711.0,34.9,1654.0,278.0,75.0,2881.0,621.0,Census Tract 34.03; San Diego County; California,06,073,003403,06073003403,0.4493344199945667,0.07552295571855475,0.020374898125509373,0.7826677533279001,0.1687041564792176,06,073,003403,-117.10778742857143,32.712476344155846,coastal
4595.0,75843.0,31.2,1395.0,767.0,477.0,2917.0,264.0,Census Tract 34.04; San Diego County; California,06,073,003404,06073003404,0.30359085963003263,0.16692056583242654,0.10380848748639826,0.6348204570184983,0.05745375408052231,06,073,003404,-117.09333076666667,32.713571275,coastal
3591.0,59974.0,29.0,1135.0,109.0,1.0,2972.0,809.0,Census Tract 35.01; San Diego County; California,06,073,003501,06073003501,0.316067947646895,0.0303536619326093,0.000278473962684489,0.8276246170983013,0.2252854358117516,06,073,003501,-117.11503047286821,32.70543407751938,coastal
4655.0,43807.0,40.0,1158.0,335.0,77.0,4166.0,1214.0,Census Tract 35.02; San Diego County; California,06,073,003502,06073003502,0.24876476906552095,0.0719656283566058,0.016541353383458645,0.8949516648764769,0.26079484425349087,06,073,003502,-117.11365598290598,32.69838677777778,coastal
3460.0,83233.0,30.1,1264.0,231.0,56.0,3179.0,488.0,Census Tract 36.01; San Diego County; California,06,073,003601,06073003601,0.3653179190751445,0.06676300578034682,0.016184971098265895,0.9187861271676301,0.14104046242774568,06,073,003601,-117.11656587857142,32.69082542142857,coastal
3719.0,64444.0,28.7,1770.0,491.0,82.0,2812.0,624.0,Census Tract 36.02; San Diego County; California,06,073,003602,06073003602,0.47593439096531326,0.13202473783275073,0.022048937886528636,0.7561172358160796,0.1677870395267545,06,073,003602,-117.10720147272727,32.693228872727275,coastal
3176.0,63664.0,38.5,1090.0,186.0,126.0,2462.0,557.0,Census Tract 36.03; San Diego County; California,06,073,003603,06073003603,0.3431989924433249,0.058564231738035266,0.039672544080604534,0.7751889168765743,0.1753778337531486,06,073,003603,-117.10675778472222,32.68606577083333,coastal
4381.0,67459.0,28.9,1073.0,114.0,7.0,4029.0,791.0,Census Tract 39.01; San Diego County; California,06,073,003901,06073003901,0.24492125085596897,0.026021456288518603,0.0015978087194704405,0.9196530472494864,0.18055238530015977,06,073,003901,-117.12617123021583,32.70393255395683,coastal
